Year,Station,STRATA,lat.DecDeg,lon.DecDeg,NAFO,Comments
2019,501,H11,45.225,-64.763,4X,
2019,502,H11,45.239,-65.483,4X,
2019,503,H11,44.319,-63.661,4X,
2019,504,H11,44.234,-63.443,4X,
2019,505,H11,44.200,-63.356,4X,
2019,506,H11,44.937,-66.239,4X,
2019,507,H11,44.129,-64.347,4X,
2019,508,H11,44.710,-66.166,4X,
2019,509,H11,43.260,-64.226,4X,
2019,510,H11,43.145,-64.249,4X,
2019,511,H11,43.824,-66.296,4X,
2019,512,H11,43.310,-65.438,4X,
2019,513,H11,43.112,-65.457,4X,
2019,514,H11,42.681,-65.944,4X,
2019,515,H11,42.070,-66.058,5Ze,
2019,516,H11,41.570,-66.360,5Ze,
2019,517,H12,44.122,-63.578,4X,
2019,518,H12,43.892,-63.518,4X,
2019,519,H12,43.414,-63.357,4X,
2019,520,H12,43.489,-64.180,4X,
2019,521,H12,44.241,-66.793,4X,
2019,522,H12,42.892,-63.608,4X,
2019,523,H12,42.637,-64.426,4X,
2019,524,H12,43.560,-67.159,4X,
2019,525,H12,43.336,-67.560,4X,
2019,526,H12,42.941,-67.002,4X,
2019,527,H12,42.203,-66.866,5Ze,
2019,528,H13,42.652,-64.255,4X,
2019,529,H13,42.594,-67.052,4X,
2019,530,H21,44.371,-60.519,4W,
2019,531,H21,44.372,-60.917,4W,
2019,532,H21,44.607,-62.499,4W,
2019,533,H21,43.799,-60.568,4W,
2019,534,H21,44.040,-61.625,4W,
2019,535,H21,43.705,-61.035,4W,
2019,536,H21,43.659,-61.518,4W,
2019,537,H21,43.626,-62.545,4W,
2019,538,H21,43.257,-61.761,4W,
2019,539,H21,43.456,-62.335,4W,
2019,540,H21,43.084,-62.548,4W,
2019,541,H21,43.049,-62.463,4W,
2019,542,H21,43.023,-62.701,4W,
2019,543,H21,43.010,-62.874,4W,
2019,544,H21,42.978,-62.897,4W,
2019,545,H22,45.448,-60.468,4W,
2019,546,H22,44.665,-61.718,4W,
2019,547,H22,44.524,-61.882,4W,
2019,548,H22,44.218,-62.054,4W,
2019,549,H22,44.082,-62.436,4W,
2019,550,H22,44.085,-62.546,4W,
2019,551,H22,43.337,-60.867,4W,
2019,552,H23,43.750,-62.954,4W,
2019,553,H23,43.022,-61.603,4W,
2019,554,H31,47.007,-60.368,4Vn,
2019,555,H31,46.741,-59.928,4Vn,
2019,556,H31,46.062,-59.425,4Vn,
2019,557,H31,45.880,-59.102,4Vn,
2019,558,H31,45.988,-59.548,4Vn,
2019,559,H31,45.874,-59.286,4Vn,
2019,560,H31,45.221,-58.774,4Vs,
2019,561,H31,45.144,-58.603,4Vs,
2019,562,H31,44.557,-57.340,4Vs,
2019,563,H31,44.559,-58.922,4Vs,
2019,564,H31,44.706,-59.441,4Vs,
2019,565,H32,45.970,-58.725,4Vn,
2019,566,H32,44.609,-57.175,4Vs,
2019,567,H32,45.444,-59.471,4Vs,
2019,568,H32,44.305,-59.307,4Vs,
2019,569,H32,43.943,-58.798,4Vs,
2019,570,H33,47.704,-60.015,4Vn,
2019,571,H33,47.413,-59.715,4Vn,
2019,572,H33,47.307,-59.561,4Vn,
2019,573,H33,47.026,-59.195,4Vn,
2019,574,H33,47.121,-59.724,4Vn,
2019,575,H33,45.976,-57.875,4Vn,
2019,576,H33,45.386,-57.438,4Vs,
2019,577,H33,44.682,-56.694,4Vs,
2019,578,H41,47.032,-55.008,3Ps,
2019,579,H41,47.333,-55.917,3Ps,
2019,580,H41,46.566,-54.335,3Ps,
2019,581,H41,47.072,-55.921,3Ps,
2019,582,H41,46.256,-55.774,3Ps,
2019,583,H41,45.833,-55.003,3Ps,
2019,584,H41,45.750,-54.837,3Ps,
2019,585,H41,45.900,-55.496,3Ps,
2019,586,H41,46.389,-56.701,3Ps,
2019,587,H41,45.902,-55.680,3Ps,
2019,588,H41,45.487,-54.846,3Ps,
2019,589,H41,46.618,-57.290,3Ps,
2019,590,H41,45.795,-56.642,3Ps,
2019,591,H42,47.289,-55.452,3Ps,
2019,592,H42,46.450,-55.084,3Ps,
2019,593,H42,46.626,-55.538,3Ps,
2019,594,H42,46.265,-54.890,3Ps,
2019,595,H42,46.447,-55.714,3Ps,
2019,596,H42,47.532,-58.185,3Pn,
2019,597,H42,47.275,-58.481,3Pn,
2019,598,H42,45.278,-55.048,3Ps,
2019,599,H43,47.426,-56.398,3Ps,
2019,600,H43,47.443,-59.380,3Pn,
2019,601,H43,47.400,-59.480,3Pn,
2019,602,H43,45.054,-54.958,3Ps,
2019,603,H43,46.289,-57.898,3Ps,
2019,604,H43,44.967,-55.224,3Ps,
2019,605,H43,45.620,-57.288,3Ps,
2019,606,H43,45.027,-56.501,3Ps,
2019,607,H51,45.510,-49.079,3N,
2019,608,H51,45.118,-49.530,3N,
2019,609,H51,45.506,-50.264,3N,
2019,610,H51,45.728,-50.730,3N,
2019,611,H51,45.438,-50.793,3N,
2019,612,H51,45.095,-50.205,3N,
2019,613,H51,44.987,-50.260,3N,
2019,614,H51,44.337,-49.186,3N,
2019,615,H51,44.621,-49.961,3N,
2019,616,H51,45.873,-52.314,3O,
2019,617,H51,44.192,-49.413,3N,
2019,618,H51,45.062,-50.948,3N,
2019,619,H51,43.972,-49.212,3N,
2019,620,H51,45.969,-52.916,3O,
2019,621,H51,45.083,-51.880,3O,
2019,622,H51,44.628,-51.163,3O,
2019,623,H51,45.225,-52.300,3O,
2019,624,H51,44.497,-51.177,3O,
2019,625,H51,43.823,-50.201,3N,
2019,626,H51,45.753,-53.708,3O,
2019,627,H51,45.167,-52.612,3O,
2019,628,H51,44.070,-50.690,3N,
2019,629,H51,44.064,-50.759,3N,
2019,630,H51,45.219,-52.873,3O,
2019,631,H51,45.471,-53.430,3O,
2019,632,H51,43.709,-50.324,3N,
2019,633,H51,45.117,-52.853,3O,
2019,634,H51,43.276,-49.851,3N,
2019,635,H51,44.956,-52.893,3O,
2019,636,H51,45.078,-53.455,3O,
2019,637,H51,43.291,-50.335,3N,
2019,638,H51,43.285,-50.403,3N,
2019,639,H51,44.467,-52.585,3O,
2019,640,H51,43.866,-51.530,3O,
2019,641,H51,45.110,-53.856,3O,
2019,642,H51,44.678,-53.051,3O,
2019,643,H51,43.746,-51.406,3O,
2019,644,H51,43.644,-51.389,3O,
2019,645,H51,43.598,-51.868,3O,
2019,646,H52,45.527,-48.794,3N,
2019,647,H52,44.164,-49.060,3N,
2019,648,H53,43.681,-49.281,3N,
2019,649,H53,43.334,-49.412,3N,
2019,650,H53,42.824,-49.963,3N,
2019,651,H13,42.634,-67.395,4X,
2019,652,H23,43.232,-61.114,4W,
2019,653,H52,45.975,-54.050,3O,
2018,561,H31,44.44324572,-57.55748545,4Vs,
2018,577,H33,44.63108445,-56.8587831,4Vs,
2018,611,H51,45.10827751,-49.67165815,3N,
2018,612,H51,45.05198061,-49.7354188,3N,
2018,616,H51,44.91847878,-50.14379175,3N,
2018,620,H51,44.44651909,-50.53531558,3N,
2018,623,H51,44.11379565,-50.13697957,3N,
2018,627,H51,44.13806074,-50.49008145,3N,
2018,639,H51,44.32711606,-52.41729447,3O,
2018,640,H51,44.43012427,-52.6837298,3O,
2018,644,H51,44.04172288,-52.39968246,3O,
2018,645,H51,44.09364794,-52.65484121,3O,
2018,650,H53,43.91784822,-52.58669352,3O,
2018,534,H21,43.98509793,-59.45277331,4W,
2018,555,H31,45.11871695,-57.79477438,4Vs,
2018,556,H31,45.51483985,-58.75971006,4Vs,
2018,558,H31,45.0168185,-58.41715338,4Vs,
2018,559,H31,45.0514054,-58.68266287,4Vs,
2018,560,H31,45.06610091,-58.90585723,4Vs,
2018,562,H31,44.59477772,-58.24927255,4Vs,
2018,563,H31,44.22306098,-58.56432271,4Vs,
2018,564,H31,44.11810601,-58.71006489,4Vs,
2018,566,H32,45.66090841,-58.03452203,4Vs,
2018,567,H32,45.12890729,-58.37978264,4Vs,
2018,568,H32,44.2214125,-59.0291282,4Vs,
2018,575,H33,45.51286253,-57.80531432,4Vs,
2018,576,H33,45.26343757,-57.54736079,4Vs,
2018,574,H33,45.06670887,-56.76466663,4vs,
2018,588,H41,45.17360491,-54.84257575,3Ps,
2018,590,H41,45.044341,-55.81971843,3Ps,
2018,607,H51,45.9662674,-50.33156483,3N,
2018,608,H51,45.81815317,-50.23722277,3N,
2018,609,H51,45.39589454,-49.99672374,3N,
2018,610,H51,45.59711782,-50.42123146,3N,
2018,613,H51,45.9522862,-51.4557348,3O,
2018,615,H51,45.23299768,-50.43883031,3N,
2018,618,H51,45.44753166,-51.87362805,3O,
2018,619,H51,44.93552332,-51.21310029,3O,
2018,621,H51,44.91695123,-51.42359988,3O,
2018,628,H51,45.10918763,-52.67246467,3O,
2018,629,H51,44.82390938,-52.40373411,3O,
2018,631,H51,44.64000737,-52.15666948,3O,
2018,637,H51,44.41445896,-52.32763923,3O,
2018,641,H51,44.86344824,-53.73113673,3O,
2018,647,H52,44.48669921,-53.36718553,3O,
2018,653,H52,44.44439354,-53.04003523,3O,
2018,501,H11,45.09343475,-65.30184887,4X,
2018,502,H11,45.17170744,-65.7518397,4X,
2018,503,H11,45.02555604,-65.68196645,4X,
2018,504,H11,44.92161254,-66.19428159,4X,
2018,509,H11,43.93360176,-66.60612459,4X,
2018,511,H11,43.58613409,-66.76820625,4X,
2018,512,H11,43.49302186,-66.50399628,4X,
2018,520,H12,43.45673433,-64.20229369,4X,
2018,521,H12,43.34335399,-64.4419373,4X,
2018,525,H12,42.74640438,-67.48650912,4X,
2018,528,H13,42.41664111,-66.89525348,4X,was originally H12
2018,554,H31,46.61078335,-59.6167465,4Vn,
2018,565,H32,46.20861205,-58.87808711,4Vn,
2018,570,H33,47.33179854,-59.41717547,4vn,
2018,571,H33,47.04523755,-59.23971043,4Vn,
2018,572,H33,46.8836317,-59.25914676,4Vn,
2018,573,H33,46.69621938,-59.11860672,4Vn,
2018,506,H11,43.22738037,-64.2484345,4X,
2018,507,H11,43.16126237,-64.1844878,4X,
2018,518,H12,43.61641414,-63.76480063,4X,
2018,519,H12,43.31637994,-63.42489691,4X,
2018,524,H12,42.70190159,-64.27598819,4X,
2018,542,H21,43.30940133,-61.38963652,4W,
2018,543,H21,43.33555856,-61.64797222,4W,
2018,552,H23,43.47590158,-60.02967055,4W,
2018,553,H23,42.99354254,-61.73396167,4W,
2018,652,H23,42.98966372,-61.62655917,4W,
2018,505,H11,44.07935889,-64.21616134,4X,
2018,517,H12,44.15698152,-63.7750268,4X,
2018,530,H21,45.13146068,-60.02370864,4W,
2018,540,H21,44.47361487,-63.10361258,4W,
2018,545,H22,45.48097993,-60.1474336,4W,
2018,549,H22,44.09926617,-63.20467533,4W,
2018,557,H31,45.80051033,-59.70536818,4Vn,
2018,531,H21,45.02253713,-60.460969,4W,
2018,532,H21,44.88411856,-61.43522888,4W,
2018,533,H21,44.81210209,-61.26161236,4W,
2018,535,H21,44.50394481,-60.92889011,4W,
2018,536,H21,44.3906772,-60.95999936,4W,
2018,537,H21,44.19571229,-60.99729605,4W,
2018,538,H21,43.82759482,-60.8284679,4W,
2018,539,H21,43.8143125,-61.28922976,4W,
2018,546,H22,44.88459101,-61.03265228,4W,
2018,547,H22,44.39233731,-61.86755733,4W,
2018,548,H22,44.17191121,-62.1451365,4W,
2018,569,H32,44.17951232,-59.98369864,4Vs,
2018,508,H11,43.34426936,-64.7667338,4X,
2018,510,H11,43.06527085,-64.788746,4X,
2018,513,H11,42.65373495,-65.21654717,4X,
2018,514,H11,42.56958752,-65.53590633,4X,
2018,522,H12,43.21297858,-64.9613384,4X,
2018,523,H12,43.22907786,-65.11260452,4X,
2018,515,H11,42.38710262,-65.70356001,4X,
2018,516,H11,41.58787172,-66.29787798,5Ze,
2018,526,H12,42.24719906,-66.31609851,5Ze,
2018,527,H12,41.54337231,-65.96195551,5Ze,
2018,529,H13,41.62719357,-65.85895315,5Ze,was originally H12
2018,651,H13,42.14012177,-65.69954819,4X,was originally H12
2018,541,H21,43.94813769,-61.80628646,4W,
2018,544,H21,43.38290918,-62.66430142,4W,
2018,550,H22,43.92655656,-62.77209693,4W,
2018,551,H22,43.55854887,-63.20055595,4W,
2018,578,H41,47.31653028,-54.59113312,3Ps,
2018,579,H41,46.71836642,-54.37076125,3Ps,
2018,580,H41,46.85615301,-55.37492826,3Ps,
2018,581,H41,46.79834342,-55.6213575,3Ps,
2018,582,H41,46.7273626,-55.56511764,3Ps,
2018,583,H41,46.76988944,-55.83796274,3Ps,
2018,584,H41,47.09301975,-57.96554638,3Ps,
2018,585,H41,45.77228021,-55.86584038,3Ps,
2018,586,H41,45.7312946,-55.78182192,3Ps,
2018,587,H41,46.03670294,-56.59982938,3Ps,
2018,589,H41,45.84494601,-56.65593627,3Ps,
2018,591,H42,47.13542385,-54.58404865,3Ps,
2018,592,H42,46.97981472,-54.3588361,3Ps,
2018,593,H42,47.25191264,-55.74375557,3Ps,
2018,594,H42,46.56233581,-55.22417386,3Ps,
2018,595,H42,47.35692951,-57.78423705,3Ps,
2018,596,H42,47.54352966,-58.60985575,3Pn,
2018,597,H42,47.24789649,-58.31979433,3Pn,
2018,598,H42,47.25569479,-58.43658278,3Pn,
2018,599,H43,47.18268468,-58.56438308,3Pn,
2018,600,H43,47.12508994,-58.43114587,3Pn,
2018,601,H43,46.87861056,-58.16100966,3Ps,
2018,602,H43,47.15007443,-59.08602552,3Pn,
2018,603,H43,46.85980953,-58.60789637,3Ps,
2018,604,H43,46.74443969,-58.34347598,3Ps,
2018,605,H43,46.55046112,-57.90566416,3Ps,
2018,606,H43,46.34391436,-58.21366192,3Ps,
2018,614,H51,44.62278976,-49.18498301,3N,
2018,617,H51,44.36533441,-49.5400222,3N,
2018,622,H51,45.79356052,-53.09840988,3O,
2018,624,H51,45.75675985,-53.19983816,3O,
2018,625,H51,45.62650534,-52.95531769,3O,
2018,626,H51,45.64078433,-53.06694725,3O,
2018,630,H51,43.60566884,-50.30959807,3N,
2018,632,H51,43.2062667,-49.73928594,3N,
2018,633,H51,45.28710745,-53.67906118,3O,
2018,634,H51,43.50898883,-50.5378825,3N,
2018,635,H51,43.44002677,-50.42442737,3N,
2018,636,H51,45.53926799,-54.42282174,3O,
2018,638,H51,45.20386682,-53.94895282,3O,
2018,642,H51,43.47281768,-51.25816822,3O,
2018,643,H51,43.42747041,-51.1819032,3O,
2018,646,H52,44.44941072,-49.05874693,3N,
2018,648,H53,44.32287628,-49.00886914,3N,
2018,649,H53,43.33401791,-49.41180914,3N,
2017,501,H11,45.4857,-64.9211,4X,
2017,502,H11,45.2248,-64.6509,4X,
2017,503,H11,45.1596,-65.0330,4X,
2017,504,H11,43.7705,-64.8097,4X,
2017,505,H11,43.3436,-65.1998,4X,
2017,506,H11,43.2597,-65.5235,4X,
2017,507,H11,42.7353,-64.3612,4X,
2017,508,H11,43.1097,-65.7802,4X,
2017,509,H11,42.7812,-65.7743,4X,
2017,510,H11,42.7628,-65.9453,4X,
2017,511,H11,42.4533,-65.6621,4X,
2017,512,H11,42.1581,-65.5305,4X,
2017,513,H11,41.9527,-66.1814,5Ze,
2017,514,H11,41.9668,-66.3294,5Ze,
2017,515,H11,41.9920,-66.7310,5Ze,
2017,516,H11,41.4594,-66.0646,5Ze,
2017,517,H12,44.1047,-63.5343,4X,
2017,518,H12,43.9957,-63.9979,4X,
2017,519,H12,43.4681,-63.7029,4X,
2017,520,H12,43.4200,-63.7907,4X,
2017,521,H12,44.3270,-66.5758,4X,
2017,522,H12,43.7117,-67.0130,4X,
2017,523,H12,43.3422,-67.3440,4X,
2017,524,H12,42.8752,-66.1408,4X,
2017,525,H12,43.2450,-67.2960,4X,
2017,526,H12,42.4670,-65.9178,4X,
2017,527,H12,41.4435,-66.0225,5Ze,
2017,528,H13,42.4036,-66.7458,4X,
2017,529,H13,42.4267,-67.1510,4X,
2017,530,H21,44.9357,-60.3567,4W,
2017,531,H21,44.5173,-60.1727,4W,
2017,532,H21,44.5469,-60.4366,4W,
2017,533,H21,44.4358,-60.1804,4W,
2017,534,H21,44.3818,-61.1378,4W,
2017,535,H21,43.7006,-60.9260,4W,
2017,536,H21,44.5725,-63.1445,4W,
2017,537,H21,43.3598,-61.0174,4W,
2017,538,H21,43.3394,-61.7561,4W,
2017,539,H21,43.4065,-62.3162,4W,
2017,540,H21,43.2103,-62.3476,4W,
2017,541,H21,43.3106,-63.1004,4W,
2017,542,H21,43.1718,-62.7597,4W,
2017,543,H21,43.1395,-62.7826,4W,
2017,544,H21,43.0251,-62.8088,4W,
2017,545,H22,45.2999,-60.1198,4W,
2017,546,H22,45.0246,-60.8647,4W,
2017,547,H22,44.6654,-61.7175,4W,
2017,548,H22,44.1617,-63.0485,4W,
2017,549,H22,43.6338,-62.8713,4W,
2017,550,H22,43.5605,-63.3093,4W,
2017,551,H22,43.1810,-63.1912,4W,
2017,552,H23,43.3400,-60.5851,4W,
2017,553,H23,43.7677,-62.9971,4W,
2017,554,H31,46.4924,-59.5373,4Vn,
2017,555,H31,45.1801,-57.7407,4Vs,
2017,556,H31,45.4998,-58.5345,4Vs,
2017,557,H31,44.9786,-57.6800,4Vs,
2017,558,H31,45.7941,-59.8886,4Vn,
2017,559,H31,44.9733,-58.0407,4Vs,
2017,560,H31,44.7176,-57.4943,4Vs,
2017,561,H31,44.6472,-57.4378,4Vs,
2017,562,H31,44.6009,-57.8914,4Vs,
2017,563,H31,44.8066,-59.7650,4Vs,
2017,564,H31,44.4607,-59.1787,4Vs,
2017,565,H32,46.7216,-60.1860,4Vn,
2017,566,H32,45.5622,-59.2538,4Vs,
2017,567,H32,44.6090,-57.1754,4Vs,
2017,568,H32,44.9123,-59.3282,4Vs,
2017,569,H32,44.2489,-59.7558,4Vs,
2017,570,H33,47.2452,-59.6157,4Vn,
2017,571,H33,47.4366,-60.1845,4Vn,
2017,572,H33,47.2946,-59.9398,4Vn,
2017,573,H33,46.7747,-58.8059,4Vn,
2017,574,H33,46.6866,-58.7008,4Vn,
2017,575,H33,47.0214,-59.6877,4Vn,
2017,576,H33,47.0028,-59.6429,4Vn,
2017,577,H33,45.2021,-57.6018,4Vs,
2017,578,H41,47.6158,-56.1485,3Ps,
2017,579,H41,46.7184,-54.3708,3Ps,
2017,580,H41,46.7519,-54.5277,3Ps,
2017,581,H41,46.7872,-55.5063,3Ps,
2017,582,H41,47.2241,-56.1515,3Ps,
2017,583,H41,46.7594,-57.2206,3Ps,
2017,584,H41,46.7396,-57.1771,3Ps,
2017,585,H41,45.6811,-54.9659,3Ps,
2017,586,H41,46.3593,-56.5434,3Ps,
2017,587,H41,45.8132,-55.9500,3Ps,
2017,588,H41,45.5795,-55.7419,3Ps,
2017,589,H41,45.8653,-56.5147,3Ps,
2017,590,H41,44.9826,-55.6957,3Ps,
2017,591,H42,47.4049,-54.0469,3Ps,
2017,592,H42,47.3100,-55.4951,3Ps,
2017,593,H42,46.7137,-54.6300,3Ps,
2017,594,H42,46.6634,-55.2502,3Ps,
2017,595,H42,46.5209,-55.1393,3Ps,
2017,596,H42,45.9969,-55.1542,3Ps,
2017,597,H42,45.0598,-54.7074,3Ps,
2017,598,H42,47.1931,-57.9978,3Ps,
2017,599,H43,47.2740,-56.9228,3Ps,
2017,600,H43,47.2142,-56.7914,3Ps,
2017,601,H43,46.77753582,-57.4514,3Ps,
2017,602,H43,46.7090,-58.0687,3Ps,
2017,603,H43,46.6714,-58.4700,3Ps,
2017,604,H43,45.7523,-57.1068,3Ps,
2017,605,H43,45.6700,-57.3028,3Ps,
2017,606,H43,44.8606,-55.6285,3Ps,
2017,607,H51,45.6189,-48.5524,3N,
2017,608,H51,45.8644,-49.1943,3N,
2017,609,H51,45.4630,-49.0013,3N,
2017,610,H51,45.8493,-49.8074,3N,
2017,611,H51,45.5266,-49.9791,3N,
2017,612,H51,45.2255,-49.4729,3N,
2017,613,H51,45.1042,-49.3505,3N,
2017,614,H51,45.1694,-49.5370,3N,
2017,615,H51,45.2881,-50.0533,3N,
2017,616,H51,45.1980,-50.2192,3N,
2017,617,H51,44.6617,-50.1077,3N,
2017,618,H51,44.3139,-49.5335,3N,
2017,619,H51,44.5872,-50.0621,3N,
2017,620,H51,43.9955,-49.2496,3N,
2017,621,H51,45.3964,-51.8645,3O,
2017,622,H51,45.5021,-52.3885,3O,
2017,623,H51,44.2398,-50.1895,3N,
2017,624,H51,43.7938,-49.5376,3N,
2017,625,H51,44.6607,-51.3809,3O,
2017,626,H51,43.7456,-49.8436,3N,
2017,627,H51,45.5925,-53.7456,3O,
2017,628,H51,44.0236,-50.9274,3N,
2017,629,H51,44.7134,-52.2055,3O,
2017,630,H51,43.2012,-49.8072,3N,
2017,631,H51,45.2383,-53.4166,3O,
2017,632,H51,45.2305,-53.4869,3O,
2017,633,H51,44.9049,-52.8827,3O,
2017,634,H51,43.8801,-51.0795,3O,
2017,635,H51,43.6522,-50.6973,3N,
2017,636,H51,43.1910,-49.9431,3N,
2017,637,H51,43.1574,-50.0416,3N,
2017,638,H51,45.1637,-53.6165,3O,
2017,639,H51,44.8239,-53.1518,3O,
2017,640,H51,44.4075,-52.3969,3O,
2017,641,H51,44.8735,-53.4118,3O,
2017,642,H51,45.2978,-54.4751,3O,
2017,643,H51,43.7723,-51.6887,3O,
2017,644,H51,45.0308,-54.3055,3O,
2017,645,H51,43.0678,-50.8173,3N,
2017,646,H52,43.6486,-49.3811,3N,
2017,647,H52,43.6364,-52.0131,3O,
2017,648,H53,45.3539,-48.6664,3N,
2017,649,H53,43.0796,-49.6889,3N,
2017,650,H53,42.8599,-50.1726,3N,
